Description,ID,Owner,Timestamp,Start Date,Start Time,Sliding Window,AutoPicker,Max Events,Number of Samples,Observation Period,Gap Period,Prediction Period,Start Seq Num
max(40)_obs(30)_gap(2)_pred(1)_samp(24),3CDF5C,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-15,00:10:00,Sequential,Manual,40,24,30,2,1,
max(40)_obs(30)_gap(2)_pred(1)_samp(21),F0CA38,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-18,00:05:00,Sequential,Manual,40,21,30,2,1,
max(40)_obs(30)_gap(1)_pred(1)_samp(55),E6548F,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-02,01:45:00,Sequential,Manual,40,55,30,1,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(86),87DE7D,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-10,00:05:00,Sequential,Manual,30,86,30,2,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(30),404C19,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-11,23:55:00,Sequential,Manual,30,30,30,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(69),DBBEA4,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-18,23:00:00,Sequential,Manual,30,69,30,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(40),00514C,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-20,01:05:00,Sequential,Manual,30,40,20,2,1,
max(30)_obs(20)_gap(5)_pred(1)_samp(85),D55F9A,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-21,23:10:00,Sequential,Manual,30,85,20,5,1,
max(30)_obs(20)_gap(3)_pred(1)_samp(47),487268,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-06,21:30:00,Sequential,Manual,30,47,20,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(71),30E687,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-18,00:00:00,Sequential,Manual,30,71,20,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(53),4683A3,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-08,16:10:00,Sequential,Manual,30,53,30,3,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(80),C8B0CB,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-28,02:50:00,Sequential,Manual,30,80,20,4,1,
max(5)_obs(20)_gap(3)_pred(1)_samp(54),3FF8E3,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-30,23:50:00,Sequential,Manual,5,54,20,3,1,
max(5)_obs(30)_gap(3)_pred(1)_samp(13),8E43D8,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-24,00:55:00,Sequential,Manual,5,13,30,3,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(40),7F9A68,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-12-11,23:55:00,Sequential,Manual,20,40,20,4,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(104),7E615D,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-15,00:15:00,Sequential,Manual,30,104,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),C5E498,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),F8407A,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),96DAE6,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),376EB0,gaurav.narasimhan@gmail.com,2024-08-04 10:09:50,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
