Description,ID,Owner,Timestamp,Start Date,Start Time,Sliding Window,AutoPicker,Max Events,Number of Samples,Observation Period,Gap Period,Prediction Period,Start Seq Num
max(5)_obs(30)_gap(2)_pred(1)_samp(130),AB1C01,gaurav.narasimhan@gmail.com,2024-08-03 06:44:09,2005-11-08,16:10,Sequential,Manual,5,130,30,2,1,11615.0
max(40)_obs(30)_gap(2)_pred(1)_samp(24),87F217,gaurav.narasimhan@gmail.com,2024-08-04 10:01:23,2005-12-15,00:10:00,Sequential,Manual,40,24,30,2,1,
max(40)_obs(30)_gap(2)_pred(1)_samp(21),D01F05,gaurav.narasimhan@gmail.com,2024-08-04 10:01:23,2005-12-18,00:05:00,Sequential,Manual,40,21,30,2,1,
max(40)_obs(30)_gap(1)_pred(1)_samp(55),DD84E1,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-12-02,01:45:00,Sequential,Manual,40,55,30,1,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(86),5AC766,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-10,00:05:00,Sequential,Manual,30,86,30,2,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(30),290D21,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-12-11,23:55:00,Sequential,Manual,30,30,30,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(69),FA89E1,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-18,23:00:00,Sequential,Manual,30,69,30,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(40),A3A7EF,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-20,01:05:00,Sequential,Manual,30,40,20,2,1,
max(30)_obs(20)_gap(5)_pred(1)_samp(85),0A8006,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-21,23:10:00,Sequential,Manual,30,85,20,5,1,
max(30)_obs(20)_gap(3)_pred(1)_samp(47),CADA8B,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-12-06,21:30:00,Sequential,Manual,30,47,20,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(71),B38DA3,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-18,00:00:00,Sequential,Manual,30,71,20,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(53),1CD33B,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-08,16:10:00,Sequential,Manual,30,53,30,3,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(80),64051A,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-28,02:50:00,Sequential,Manual,30,80,20,4,1,
max(5)_obs(20)_gap(3)_pred(1)_samp(54),B344CC,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-30,23:50:00,Sequential,Manual,5,54,20,3,1,
max(5)_obs(30)_gap(3)_pred(1)_samp(13),029511,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-12-24,00:55:00,Sequential,Manual,5,13,30,3,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(40),1AA8B5,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-12-11,23:55:00,Sequential,Manual,20,40,20,4,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(104),C2ED94,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-15,00:15:00,Sequential,Manual,30,104,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),492C73,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),9E12E3,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),C882F5,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),7BC8E3,gaurav.narasimhan@gmail.com,2024-08-04 10:04:11,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(40)_obs(30)_gap(1)_pred(1)_samp(55),39155E,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-12-02,01:45:00,Sequential,Manual,40,55,30,1,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(86),A4EBD0,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-10,00:05:00,Sequential,Manual,30,86,30,2,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(30),2EA121,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-12-11,23:55:00,Sequential,Manual,30,30,30,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(69),A996C7,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-18,23:00:00,Sequential,Manual,30,69,30,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(40),EF2D86,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-20,01:05:00,Sequential,Manual,30,40,20,2,1,
max(30)_obs(20)_gap(5)_pred(1)_samp(85),88B2CB,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-21,23:10:00,Sequential,Manual,30,85,20,5,1,
max(30)_obs(20)_gap(3)_pred(1)_samp(47),F833D0,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-12-06,21:30:00,Sequential,Manual,30,47,20,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(71),9FFD83,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-18,00:00:00,Sequential,Manual,30,71,20,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(53),D9BFA2,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-08,16:10:00,Sequential,Manual,30,53,30,3,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(80),7337F0,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-28,02:50:00,Sequential,Manual,30,80,20,4,1,
max(5)_obs(20)_gap(3)_pred(1)_samp(54),92C1DC,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-30,23:50:00,Sequential,Manual,5,54,20,3,1,
max(5)_obs(30)_gap(3)_pred(1)_samp(13),E8659D,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-12-24,00:55:00,Sequential,Manual,5,13,30,3,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(40),9A4408,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-12-11,23:55:00,Sequential,Manual,20,40,20,4,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(104),94D5EC,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-15,00:15:00,Sequential,Manual,30,104,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),484EA2,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),1B5C1C,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),9DA79C,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),359988,gaurav.narasimhan@gmail.com,2024-08-04 10:04:19,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(40)_obs(30)_gap(1)_pred(1)_samp(55),AAA243,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-12-02,01:45:00,Sequential,Manual,40,55,30,1,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(86),78C2FA,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-10,00:05:00,Sequential,Manual,30,86,30,2,1,
max(30)_obs(30)_gap(2)_pred(1)_samp(30),A57BC8,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-12-11,23:55:00,Sequential,Manual,30,30,30,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(69),2ED3E6,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-18,23:00:00,Sequential,Manual,30,69,30,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(40),4CD575,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-20,01:05:00,Sequential,Manual,30,40,20,2,1,
max(30)_obs(20)_gap(5)_pred(1)_samp(85),6BCFB9,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-21,23:10:00,Sequential,Manual,30,85,20,5,1,
max(30)_obs(20)_gap(3)_pred(1)_samp(47),71F3C9,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-12-06,21:30:00,Sequential,Manual,30,47,20,3,1,
max(30)_obs(20)_gap(2)_pred(1)_samp(71),152ADF,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-18,00:00:00,Sequential,Manual,30,71,20,2,1,
max(30)_obs(30)_gap(3)_pred(1)_samp(53),ADED57,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-08,16:10:00,Sequential,Manual,30,53,30,3,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(80),6ABCC1,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-28,02:50:00,Sequential,Manual,30,80,20,4,1,
max(5)_obs(20)_gap(3)_pred(1)_samp(54),F9B48D,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-30,23:50:00,Sequential,Manual,5,54,20,3,1,
max(5)_obs(30)_gap(3)_pred(1)_samp(13),23B8B6,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-12-24,00:55:00,Sequential,Manual,5,13,30,3,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(40),A50869,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-12-11,23:55:00,Sequential,Manual,20,40,20,4,1,
max(30)_obs(20)_gap(4)_pred(1)_samp(104),295600,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-15,00:15:00,Sequential,Manual,30,104,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),6106C3,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),1DDE17,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),202908,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
max(20)_obs(20)_gap(4)_pred(1)_samp(49),87E849,gaurav.narasimhan@gmail.com,2024-08-04 10:04:30,2005-11-13,00:00:00,Sequential,Manual,20,49,20,4,1,
